,id,url,priority,page,fetched,price_currency,price_value,ad_id,posted_weekday,posted_time,posted_month,posted_day,posted_year,delivery_offered,price_negotiable,condition,year,make,model,current_location,import_duty_paid,mileage,transmission,four_wheel_drive,location,description
1524,1525,https://www.zoomtanzania.com/minis/2004-toyota-alphard-1179895?s=712a167f48e0d96c2ef0e88c89264202,silver,153,1,TSh,"20,000,000",1179895,Monday,10:46:00,October,01,2018,Yes,No,Used Abroad,2004,Toyota,Alphard,In Tanzania,Yes,,Automatic,no,"Kinondoni, Mwenge

Dar Es Salaam","Toyota Alpard (Unregistered) Year 2004 Km 65000 4 Cylinder Double Sunroof Sports Rims Leather SitPrice: 20,000,000/="
1525,1526,https://www.zoomtanzania.com/station-wagons/2008-toyota-fielder-1179890?s=712a167f48e0d96c2ef0e88c89264202,silver,153,1,TSh,"15,000,000",1179890,Friday,03:44:00,November,02,2018,Yes,No,Used Abroad,2008,Toyota,Fielder,In Tanzania,Yes,,Automatic,no,"Kinondoni, Mwenge

Dar Es Salaam","Toyota Corolla Fielder [Haijasajiliwa]
Imeshafika Tanzania Cc 1490 Vvti Mwaka 2008 Km 45000 Gari nzuri sanaBei: 15,000,000/= pamoja na usajili"
1526,1527,https://www.zoomtanzania.com/hatchbacks/2007-toyota-ist-1179866?s=712a167f48e0d96c2ef0e88c89264202,silver,153,1,TSh,"13,000,000",1179866,Monday,10:45:00,October,01,2018,Yes,No,Used Abroad,2007,Toyota,IST,In Tanzania,Yes,,Automatic,no,"Kinondoni, Mwenge

Dar Es Salaam","Toyota IST (Haijasajiliwa) Cc 1290 Mwaka 2007 Km 49000 Gari nzuri sana Imeshafika Dar es salaam
Bei: 13,000,000 + Usajili"
1527,1528,https://www.zoomtanzania.com/sedans/2002-toyota-mark-ii-1179858?s=712a167f48e0d96c2ef0e88c89264202,silver,153,1,TSh,"9,500,000",1179858,Monday,10:45:00,October,01,2018,No,No,Used,2002,Toyota,Mark II,In Tanzania,Yes,,Automatic,no,"Kinondoni, Sinza

Dar Es Salaam","Make Toyota
Model Mark ll
(Gx 110)
Year 2002
Cc 1980
Beams 2000
Fuel Petrol
New rims
New tyres
Auto transmission
Price 9.5m(Negt)"
1528,1529,https://www.zoomtanzania.com/4x4s-suvs/2008-subaru-forester-1179837?s=712a167f48e0d96c2ef0e88c89264202,silver,153,1,TSh,"24,000,000",1179837,Monday,10:12:00,October,01,2018,No,No,Used Abroad,2008,Subaru,Forester,In Tanzania,Yes,,Automatic,no,"Kinondoni, Sinza

Dar Es Salaam","Make Subaru
Model Forester
Year 2008/09
Cc 2450
Km 63,000
Full Options
Leather seat
Open roof
Price 24m(registration)"
1529,1530,https://www.zoomtanzania.com/sedans/2005-toyota-mark-x-1179825?s=712a167f48e0d96c2ef0e88c89264202,silver,153,1,TSh,"13,800,000",1179825,Monday,10:12:00,October,01,2018,No,No,Used Abroad,2005,Toyota,Mark X,In Tanzania,Yes,,Automatic,no,"Kinondoni, Sinza

Dar Es Salaam","Make Toyota
Model Mark X
Unregistered
Year 2005
Cc 2490
Km 72,000
Full Option
Push to Start
Price 13.8m(Negt)"
1530,1531,https://www.zoomtanzania.com/hatchbacks/2003-toyota-voltz-1179808?s=0c8336653fbabe19b9bc59f877b40666,silver,154,1,TSh,"14,500,000",1179808,Monday,10:16:00,October,01,2018,,No,Used,2003,Toyota,Voltz,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Volts DHS
Cc 1790
Year 2003
Mileage 78,432km
Price 14.5m"
1531,1532,https://www.zoomtanzania.com/4x4s-suvs/2000-toyota-nadia-1179802?s=0c8336653fbabe19b9bc59f877b40666,silver,154,1,TSh,"8,800,000",1179802,Monday,09:55:00,October,01,2018,,No,Used,2000,Toyota,Nadia,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Nadia Type SU(DHX)
Year 2000
Cc 1990
Mileage 85,612km
3s Engine
New Tyres
Price 8.8m"
1532,1533,https://www.zoomtanzania.com/4x4s-suvs/1997-toyota-land-cruiser-prado-1179788?s=0c8336653fbabe19b9bc59f877b40666,silver,154,1,TSh,"11,500,000",1179788,Monday,09:49:00,October,01,2018,,No,Used,1997,Toyota,Land Cruiser Prado,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","LandCruiser Prado(ACA)
Year1997
Cc 2980
1KZ Engine
Price 11.5m"
1533,1534,https://www.zoomtanzania.com/4x4s-suvs/2006-toyota-rav-4-1179782?s=0c8336653fbabe19b9bc59f877b40666,silver,154,1,TSh,"26,000,000",1179782,Monday,09:49:00,October,01,2018,,No,Used,2006,Toyota,Rav 4,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Rava4 /miss Tz for sale
Model 2006/7
Cc 2360
4clyinder
Engine vvti
Automatic transmission
Full vibal AC
Haijarudiwa rang
New tires
Rim sports
CD player /redio
Black
No dents
Price 26m"
